t(s),v-lin(m/s),steeer-ang(rad),v-tyre-rot(1/s)
0,0,0,0
0.2,0.317035,0,1
0.4,0.63407,0,2
0.6,0.951105,0,3
0.8,1.26814,0,4
1,1.585175,0,5
1.2,1.90221,0,6
1.4,2.219245,0,7
1.6,2.53628,0,8
1.8,2.853315,0,9
2,3.17035,0,10
2.2,3.487385,0,11
2.4,3.80442,0,12
2.6,4.121455,0,13
2.8,4.43849,0,14
3,4.755525,0,15
3.2,5.07256,0,16
3.4,5.389595,0,17
3.6,5.70663,0,18
3.8,6.023665,0,19
4,6.3407,0,20
4.2,6.657735,0,21
4.4,6.97477,0,22
4.6,7.291805,0,23
4.8,7.60884,0,24
5,7.925875,0,25
5.2,8.24291,0,26
5.4,8.559945,0,27
5.6,8.87698,0,28
5.8,9.194015,0,29
6,9.51105,0,30
6.2,9.51105,0,30
6.4,9.51105,0,30
6.6,9.51105,0,30
6.8,9.51105,0,30
7,9.51105,0,30
7.2,9.51105,0,30
7.4,9.51105,0,30
7.6,9.51105,0,30
7.8,9.51105,0,30
8,9.51105,0,30
8.2,9.51105,0,30
8.4,9.51105,0,30
8.6,9.51105,0,30
8.8,9.51105,0,30
9,9.51105,0,30
9.2,9.51105,0,30
9.4,9.51105,0,30
9.6,9.51105,0,30
9.8,9.51105,0,30
10,9.51105,0,30
10.2,9.51105,0,30
10.4,9.51105,0,30
10.6,9.51105,0,30
10.8,9.51105,0,30
11,9.51105,0,30
11.2,9.51105,0,30
11.4,9.51105,0,30
11.6,9.51105,0,30
11.8,9.51105,0,30
12,9.51105,0,30
12.2,9.51105,0,30
12.4,9.51105,0,30
12.6,9.51105,0,30
12.8,9.51105,0,30
13,9.51105,0,30
13.2,9.51105,0,30
13.4,9.51105,0,30
13.6,9.51105,0,30
13.8,9.51105,0,30
14,9.51105,0,30
14.2,9.51105,0,30
14.4,9.51105,0,30
14.6,9.51105,0,30
14.8,9.51105,0,30
15,9.51105,0,30
15.2,9.51105,0,30
15.4,9.51105,0,30
15.6,9.51105,0,30
15.8,9.51105,0,30
16,9.51105,0,30
16.2,9.51105,0,30
16.4,9.51105,0,30
16.6,9.51105,0,30
16.8,9.51105,0,30
17,9.51105,0,30
17.2,9.51105,0,30
17.4,9.51105,0,30
17.6,9.51105,0,30
17.8,9.51105,0,30
18,9.51105,0,30
18.2,9.51105,0,30
18.4,9.51105,0,30
18.6,9.51105,0,30
18.8,9.51105,0,30
19,9.51105,0,30
19.2,9.51105,0,30
19.4,9.51105,0,30
19.6,9.51105,0,30
19.8,9.51105,0,30
20,9.51105,0,30
20.2,9.51105,0,30
20.4,9.51105,0,30
20.6,9.51105,0,30
20.8,9.51105,0,30
21,9.51105,0,30
21.2,9.51105,0,30
21.4,9.51105,0,30
21.6,9.51105,0,30
21.8,9.51105,0,30
22,9.51105,0,30
22.2,9.51105,0,30
22.4,9.51105,0,30
22.6,9.51105,0,30
22.8,9.51105,0,30
23,9.51105,0,30
23.2,9.51105,0,30
23.4,9.51105,0,30
23.6,9.51105,0,30
23.8,9.51105,0,30
24,9.51105,0,30
24.2,9.194015,0,29
24.4,8.87698,0,28
24.6,8.559945,0,27
24.8,8.24291,0,26
25,7.925875,0,25
25.2,7.60884,0,24
25.4,7.291805,0,23
25.6,6.97477,0,22
25.8,6.657735,0,21
26,6.3407,0,20
26.2,6.023665,0,19
26.4,5.70663,0,18
26.6,5.389595,0,17
26.8,5.07256,0,16
27,4.755525,0,15
27.2,4.43849,0,14
27.4,4.121455,0,13
27.6,3.80442,0,12
27.8,3.487385,0,11
28,3.17035,0,10
28.2,2.853315,0,9
28.4,2.53628,0,8
28.6,2.219245,0,7
28.8,1.90221,0,6
29,1.585175,0,5
29.2,1.26814,0,4
29.4,0.951105,0,3
29.6,0.63407,0,2
29.8,0.317035,0,1
30,0,0,0
